"No.","Time","Source","Destination","Protocol","Length","Info"
"1505","0.036000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=309809 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1506","0.036000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=309809 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1507","0.036000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=310345 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1508","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=310345 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1509","0.040000","10.64.43.166","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=284617 Win=65392 Len=0"
"1510","0.040000","116.50.76.245","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=284617 Win=65392 Len=0"
"1511","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=310881 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1512","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=310881 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1513","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=311417 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1514","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=311417 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
